,,,,,,,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,,Cyclically ,,,,,,,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,,Adjusted,,,,,,,
,,,,,,,,,,,,Price,,Total Return Price,,,,,,,
,,,,  Consumer,,,,, Real ,, Real ,Earnings,,Earnings,,,Monthly,Real,,,
,S&P,,,Price,,Long,,, Total ,, TR ,Ratio,,Ratio,,Excess,Total,Total,10 Year,10 Year,Real 10 Year
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real, Return ,Real, Scaled ,P/E10 or,,TR P/E10 or,,CAPE,Bond,Bond,Annualized Stock,Annualized Bonds ,Excess Annualized 
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend, Price ,Earnings, Earnings ,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns
1874.09,4.54,0.33,0.46,11.80,1874.71,5.20,117.22,8.52,  147.03 ,11.88,  14.90 ,NA,,NA,,,1.01,1.30,9.57%,8.89%,0.68%
1874.1,4.53,0.33,0.46,11.61,1874.79,5.17,118.88,8.66,  150.01 ,12.07,  15.23 ,NA,,NA,,,1.01,1.33,9.17%,8.80%,0.37%
1874.11,4.57,0.33,0.46,11.51,1874.88,5.14,120.92,8.73,  153.51 ,12.17,  15.45 ,NA,,NA,,,1.01,1.35,9.01%,8.92%,0.09%
1874.12,4.54,0.33,0.46,11.51,1874.96,5.10,120.13,8.73,  153.42 ,12.17,  15.55 ,NA,,NA,,,1.01,1.36,9.18%,9.01%,0.17%
1875.01,4.54,0.33,0.45,11.51,1875.04,5.07,120.13,8.67,  154.35 ,11.95,  15.36 ,NA,,NA,,,1.01,1.37,8.92%,8.97%,-0.05%
1875.02,4.53,0.33,0.44,11.51,1875.13,5.03,119.87,8.60,  154.93 ,11.73,  15.16 ,NA,,NA,,,1.01,1.38,9.15%,8.81%,0.34%
1875.03,4.59,0.32,0.44,11.51,1875.21,4.99,121.45,8.53,  157.90 ,11.51,  14.96 ,NA,,NA,,,1.01,1.39,9.28%,9.03%,0.25%
1875.04,4.65,0.32,0.43,11.61,1875.29,4.95,122.03,8.40,  159.56 ,11.20,  14.64 ,NA,,NA,,,1.01,1.39,9.07%,8.95%,0.12%
1875.05,4.47,0.32,0.42,11.32,1875.38,4.91,120.27,8.54,  158.18 ,11.25,  14.80 ,NA,,NA,,,1.01,1.43,9.35%,8.90%,0.45%
1875.06,4.38,0.32,0.41,11.13,1875.46,4.87,119.86,8.62,  158.59 ,11.22,  14.85 ,NA,,NA,,,1.01,1.47,9.59%,8.94%,0.65%
1875.07,4.39,0.31,0.40,11.13,1875.54,4.83,120.13,8.55,  159.90 ,10.99,  14.63 ,NA,,NA,,,1.01,1.48,9.83%,8.77%,1.05%
1875.08,4.41,0.31,0.39,11.23,1875.63,4.79,119.66,8.41,  160.20 ,10.67,  14.29 ,NA,,NA,,,1.01,1.48,10.46%,8.83%,1.63%
1875.09,4.37,0.31,0.39,11.13,1875.71,4.75,119.59,8.41,  161.04 ,10.54,  14.19 ,NA,,NA,,,1.01,1.50,10.44%,8.83%,1.61%
1875.1,4.30,0.31,0.38,11.13,1875.79,4.71,117.67,8.35,  159.40 ,10.31,  13.96 ,NA,,NA,,,1.01,1.51,11.23%,8.80%,2.43%
1875.11,4.37,0.30,0.37,11.04,1875.88,4.67,120.62,8.35,  164.33 ,10.17,  13.85 ,NA,,NA,,,1.01,1.53,11.50%,8.54%,2.96%
1875.12,4.37,0.30,0.36,10.94,1875.96,4.63,121.67,8.35,  166.71 ,10.02,  13.73 ,NA,,NA,,,1.01,1.56,11.04%,8.16%,2.88%
1876.01,4.46,0.30,0.35,10.85,1876.04,4.59,125.26,8.43,  172.60 ,9.92,  13.67 ,NA,,NA,,,1.00,1.58,10.95%,8.28%,2.67%
